"Refs","Value","Footprint","Qty","DNP"
"C_5V_IN1","22uF/50V","Capacitor_SMD:C_1210_3225Metric","1",""
"C_5V_OUT1","22uF/10V","Capacitor_SMD:C_0805_2012Metric","1",""
"C_24V1","1uF/50V","Capacitor_SMD:C_0805_2012Metric","1",""
"C_BULK1","100uF/35V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C_DR1","100pF","Capacitor_SMD:C_0805_2012Metric","1",""
"D_B1,D_COIL1,D_G1,D_R1,D_REV1,D_W1","SS54","Diode_SMD:D_SMA","6",""
"D_TVS_IN1,TVS_AUX1,TVS_HL1","SMBJ30CA","Diode_SMD:D_SMB","3",""
"ESD_DR1,ESD_DS_BENCH1,ESD_DS_CEILING1,TVS_5VP1,TVS_RX_PANEL1,TVS_TX_PANEL1","ESD9B5.0ST5G","Diode_SMD:D_SOD-323","6",""
"F1","7.5A T","Fuse:Fuseholder_Clip-5x20mm_Schurter_OG_Lateral_P15.00x5.00mm_D1.3mm_Horizontal","1",""
"F2","1A F","Fuse:Fuseholder_Clip-5x20mm_Schurter_OG_Lateral_P15.00x5.00mm_D1.3mm_Horizontal","1",""
"F3","500mA","Resistor_SMD:R_1812_4532Metric","1",""
"J_AUX1","AUX","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"J_BENCH1","BENCH","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","1",""
"J_CEILING1","CEILING","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","1",""
"J_COIL1","COIL SAFETY","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","1",""
"J_DOOR1","DOOR","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"J_ESP_L1,J_ESP_R1","ESP32-DevKitC-32E","Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical","2",""
"J_LED1","LED STRIP","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal","1",""
"J_PANEL1","PANEL","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal","1",""
"J_PWR1","+24V IN","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"LED_COIL1","AMBER","LED_SMD:LED_0805_2012Metric","1",""
"LED_FAULT1","RED","LED_SMD:LED_0805_2012Metric","1",""
"LED_PWR1","GREEN","LED_SMD:LED_0805_2012Metric","1",""
"OPT_AUX1,OPT_HL1","LTV-817S","Package_DIP:DIP-4_W7.62mm","2",""
"Q_B1,Q_COIL1,Q_G1,Q_R1,Q_W1","AOD4184A","Package_TO_SOT_SMD:TO-252-2","5",""
"R_DR_PU1,R_DS_BENCH1,R_DS_CEILING1,R_LED_COIL1,R_OPT_AUX_LED1,R_OPT_HL_LED1","4.7k","Resistor_SMD:R_0805_2012Metric","6",""
"R_DR_S1,R_GATE_B1,R_GATE_COIL1,R_GATE_G1,R_GATE_R1,R_GATE_W1","100","Resistor_SMD:R_0805_2012Metric","6",""
"R_GPD_B1,R_GPD_COIL1,R_GPD_G1,R_GPD_R1,R_GPD_W1,R_OPT_AUX_PU1,R_OPT_HL_PU1","10k","Resistor_SMD:R_0805_2012Metric","7",""
"R_LED_FAULT1,R_LED_PWR1","1k","Resistor_SMD:R_0805_2012Metric","2",""
"R_RX1,R_TX1","33","Resistor_SMD:R_0805_2012Metric","2",""
"TP_3V3,TP_5V1,TP_GND1","TP","TestPoint:TestPoint_Pad_D1.5mm","3",""
"U1","R-78E5.0-1.0","Converter_DCDC:Converter_DCDC_RECOM_R-78E-0.5_THT","1",""
