Comment,Designator,Footprint,LCSC Part #
22uF/10V,C_5V_OUT1,C_0805_2012Metric,C45783
1uF/50V,C_24V1,C_0805_2012Metric,C28323
100pF,C_DR1,C_0805_2012Metric,C1790
100uF/35V,C_BULK1,CP_Radial_D8.0mm_P3.50mm,C2960384
SS54,"D_B1,D_COIL1,D_G1,D_R1,D_REV1,D_W1",D_SMA,C22452
SMBJ30CA,"D_TVS_IN1,TVS_AUX1,TVS_HL1",D_SMB,C5331115
ESD9B5.0ST5G,"ESD_DR1,ESD_DS_BENCH1,ESD_DS_CEILING1,TVS_5VP1,TVS_RX_PANEL1,TVS_TX_PANEL1",D_SOD-323,C2827694
500mA,F3,R_1812_4532Metric,C151168
ESP32-DevKitC-32E,"J_ESP_L1,J_ESP_R1",PinSocket_1x19_P2.54mm_Vertical,C319202
AMBER,LED_COIL1,LED_0805_2012Metric,C2296
RED,LED_FAULT1,LED_0805_2012Metric,C2295
GREEN,LED_PWR1,LED_0805_2012Metric,C2297
LTV-817S,"OPT_AUX1,OPT_HL1",DIP-4_W7.62mm,C160821
AOD4184A,"Q_B1,Q_COIL1,Q_G1,Q_R1,Q_W1",TO-252-2,C99124
4.7k,"R_DR_PU1,R_DS_BENCH1,R_DS_CEILING1,R_LED_COIL1,R_OPT_AUX_LED1,R_OPT_HL_LED1",R_0805_2012Metric,C17673
100,"R_DR_S1,R_GATE_B1,R_GATE_COIL1,R_GATE_G1,R_GATE_R1,R_GATE_W1",R_0805_2012Metric,C17408
10k,"R_GPD_B1,R_GPD_COIL1,R_GPD_G1,R_GPD_R1,R_GPD_W1,R_OPT_AUX_PU1,R_OPT_HL_PU1",R_0805_2012Metric,C17414
1k,"R_LED_FAULT1,R_LED_PWR1",R_0805_2012Metric,C17513
33,"R_RX1,R_TX1",R_0805_2012Metric,C17634
R-78E5.0-1.0,U1,Converter_DCDC_RECOM_R-78E-0.5_THT,C22371890
