JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name：sauna-controller-jlc-bom-JLCPCB Assembly Order.xlsx,,,Download Time：2026-05-01 06:46:32,,,,"* Our matching results are updated in real-time, but stock and prices may change.
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty：5,,,Est. Total Price：35.6629,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
C_24V1,,1uF/50V,C_0805_2012Metric,,Select by System,CL21B105KBFNNNE,Samsung Electro-Mechanics,0805,1uF 50V X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C28323,https://jlcpcb.com/partdetail/29074-CL21B105KBFNNNE/C28323,Basic,5.0,5 JLCPCB,0.066
C_5V_OUT1,,22uF/10V,C_0805_2012Metric,,Select by System,CL21A226MAQNNNE,Samsung Electro-Mechanics,0805,22uF 25V X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C45783,https://jlcpcb.com/partdetail/46786-CL21A226MAQNNNE/C45783,Basic,5.0,5 JLCPCB,0.159
C_BULK1,,100uF/35V,CP_Radial_D8.0mm_P3.50mm,,Select by System,35V100uF CD288,HRK,"插件,D8xL12mm","-40℃~+105℃ 100uF 12mm 3.5mm 35V 8mm ±20% 插件,D8xL12mm Aluminum Electrolytic Capacitors - Leaded ROHS",Aluminum Electrolytic Capacitors - Leaded,,C2960384,https://jlcpcb.com/partdetail/HRK-35V100uFCD288/C2960384,Extended,6.0,6 JLCPCB,0.1488
C_DR1,,100pF,C_0805_2012Metric,,Select by System,CL21C101JBANNNC,Samsung Electro-Mechanics,0805,100pF 50V C0G ±5% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1790,https://jlcpcb.com/partdetail/2142-CL21C101JBANNNC/C1790,Basic,5.0,5 JLCPCB,0.037
"D_B1,D_COIL1,D_G1,D_R1,D_REV1,D_W1",,SS54,D_SMA,,Unconfirmed,SS54,MDD(Microdiode Semiconductor),SMA(DO-214AC),-55℃~+125℃ 1mA@40V 40V 550mV@5A 5A Independent SMA(DO-214AC) Schottky Diodes ROHS,Schottky Diodes,"1.There may be multiple types of parts, but one type of part has been matched. Please check.;",C22452,https://jlcpcb.com/partdetail/MDD_Microdiode_Semiconductor-SS54/C22452,Basic,30.0,30 JLCPCB,1.077
"D_TVS_IN1,TVS_AUX1,TVS_HL1",,SMBJ30CA,D_SMB,,Unconfirmed,SMBJ30CA,MSKSEMI,DO-214AA(SMB),12.4A@10/1000us 1uA 30V 36.8V 400W@10/1000us 48.4V Bidirectional TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS,ESD And Surge Protection (TVS/ESD),"1.There may be multiple types of parts, but one type of part has been matched. Please check.;",C5331115,https://jlcpcb.com/partdetail/MSKSEMI-SMBJ30CA/C5331115,Extended,17.0,17 JLCPCB,0.595
"ESD_DR1,ESD_DS_BENCH1,ESD_DS_CEILING1,TVS_5VP1,TVS_RX_PANEL1,TVS_TX_PANEL1",,ESD9B5.0ST5G,D_SOD-323,,Unconfirmed,PESD5V0S1BA,TECH PUBLIC,SOD-323,-55℃~+125℃ 1 100nA 20A 300W 5V 7V 9V Bidirectional ESD IEC 61000-4-2 SOD-323 ESD and Surge Protection (TVS/ESD) ROHS,ESD And Surge Protection (TVS/ESD),"1.There may be multiple types of parts, but one type of part has been matched. Please check.;",C2827694,https://jlcpcb.com/partdetail/TECHPUBLIC-PESD5V0S1BA/C2827694,Extended,38.0,38 JLCPCB,1.2692
F3,,500mA,R_1812_4532Metric,,Select by System,1812L050/30PR,Littelfuse,1812,-40℃~+85℃ 1.25mm 100A 150ms 150mΩ 1A 1Ω 3.41mm 30V 4.73mm 500mA 800mW 1812 Resettable Fuses ROHS,Resettable Fuses,,C151168,https://jlcpcb.com/partdetail/Littelfuse-1812L05030PR/C151168,Extended,7.0,7 JLCPCB,0.7875
"J_ESP_L1,J_ESP_R1",,ESP32-DevKitC-32E,PinSocket_1x19_P2.54mm_Vertical,,Unconfirmed,2.54-1*19P母,BOOMELE(Boom Precision Elec),"插件,P=2.54mm","1 19P 2.54mm Square Hole Through Hole Top 插件,P=2.54mm Female Headers ROHS",Female Headers,"1.There may be multiple types of parts, but one type of part has been matched. Please check.;",C319202,https://jlcpcb.com/partdetail/300475-2_54_1_19P/C319202,Extended,10.0,10 JLCPCB,1.703
LED_COIL1,,AMBER,LED_0805_2012Metric,,Select by System,KT-0805Y,Hubei KENTO Elec,0805,-40℃~+85℃ 1.8V~2.4V 120° 175mcd 40mW 584nm~594nm 596nm Discrete Diode Water Clear Yellow 0805 LED Indication - Discrete ROHS,LED Indication - Discrete,,C2296,https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0805Y/C2296,Basic,5.0,5 JLCPCB,0.075
LED_FAULT1,,RED,LED_0805_2012Metric,,Select by System,KT-0805R,Hubei KENTO Elec,0805,-40℃~+85℃ 120° 2.4V 210mcd 40mW 615nm~630nm 645nm Discrete Diode Red Water Clear 0805 LED Indication - Discrete ROHS,LED Indication - Discrete,,C2295,https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0805R/C2295,Extended,20.0,20 JLCPCB,0.164
LED_PWR1,,GREEN,LED_0805_2012Metric,,Select by System,KT-0805G,Hubei KENTO Elec,0805,-40℃~+85℃ 100mW 120° 2.6V~3.1V 430mcd 513nm~528nm 525nm 5mA Discrete Diode Emerald Green Water Clear 0805 LED Indication - Discrete ROHS,LED Indication - Discrete,,C2297,https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0805G/C2297,Basic,5.0,5 JLCPCB,0.08
"OPT_AUX1,OPT_HL1",,LTV-817S,DIP-4_W7.62mm,,Unconfirmed,EL817(C)-G,Everlight Elec,DIP-4,"-55℃~+110℃ 1 1.2V 100mV@20mA,1mA 18us 18us 200mW 35V 50% 50mA 5kV 600% 60mA 6V DC Phototransistor DIP-4 Transistor, Photovoltaic Output Optoisolators ROHS","Transistor, Photovoltaic Output Optoisolators","1.There may be multiple types of parts, but one type of part has been matched. Please check.;",C160821,https://jlcpcb.com/partdetail/EverlightElec-EL817_C_G/C160821,Extended,11.0,11 JLCPCB,0.6919
