Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C_5V_OUT1,22uF/10V,C_0805_2012Metric,142.240000,-84.140000,90.000000,Top
C_24V1,1uF/50V,C_0805_2012Metric,150.810000,-69.850000,0.000000,Top
C_BULK1,100uF/35V,CP_Radial_D8.0mm_P3.50mm,159.500000,-80.000000,0.000000,Top
C_DR1,100pF,C_0805_2012Metric,80.330000,-73.340000,180.000000,Top
D_B1,SS54,D_SMA,154.608333,-105.825000,0.000000,Top
D_COIL1,SS54,D_SMA,122.000000,-65.500000,180.000000,Top
D_G1,SS54,D_SMA,143.458334,-105.825000,0.000000,Top
D_R1,SS54,D_SMA,133.975000,-106.000000,0.000000,Top
D_REV1,SS54,D_SMA,170.500000,-90.500000,0.000000,Top
D_TVS_IN1,SMBJ30CA,D_SMB,160.850000,-90.000000,0.000000,Top
D_W1,SS54,D_SMA,165.475000,-105.825000,0.000000,Top
ESD_DR1,ESD9B5.0ST5G,D_SOD-323,90.170000,-118.000000,-90.000000,Top
ESD_DS_BENCH1,ESD9B5.0ST5G,D_SOD-323,127.180000,-115.847500,90.000000,Top
ESD_DS_CEILING1,ESD9B5.0ST5G,D_SOD-323,110.490000,-118.007500,90.000000,Top
F3,500mA,R_1812_4532Metric,74.930000,-106.277500,-90.000000,Top
J_ESP_L1,ESP32-DevKitC-32E,PinSocket_1x19_P2.54mm_Vertical,64.000000,-57.180000,0.000000,Top
J_ESP_R1,ESP32-DevKitC-32E,PinSocket_1x19_P2.54mm_Vertical,89.400000,-57.180000,0.000000,Top
LED_COIL1,AMBER,LED_0805_2012Metric,111.760000,-62.562500,-90.000000,Top
LED_FAULT1,RED,LED_0805_2012Metric,112.697500,-100.330000,0.000000,Top
LED_PWR1,GREEN,LED_0805_2012Metric,102.350000,-105.410000,0.000000,Top
OPT_AUX1,LTV-817S,DIP-4_W7.62mm,165.100000,-68.580000,180.000000,Top
OPT_HL1,LTV-817S,DIP-4_W7.62mm,133.350000,-74.930000,180.000000,Top
Q_B1,AOD4184A,TO-252-2,154.950000,-115.390000,-90.000000,Top
Q_COIL1,AOD4184A,TO-252-2,105.670000,-56.585000,90.000000,Top
Q_G1,AOD4184A,TO-252-2,144.475000,-115.565000,-90.000000,Top
Q_R1,AOD4184A,TO-252-2,133.950000,-115.410000,-90.000000,Top
Q_W1,AOD4184A,TO-252-2,165.975000,-115.565000,-90.000000,Top
R_DR_PU1,4.7k,R_0805_2012Metric,93.980000,-117.912500,90.000000,Top
R_DR_S1,100,R_0805_2012Metric,86.360000,-117.752500,90.000000,Top
R_DS_BENCH1,4.7k,R_0805_2012Metric,121.920000,-115.927500,90.000000,Top
R_DS_CEILING1,4.7k,R_0805_2012Metric,105.577500,-118.087500,0.000000,Top
R_GATE_B1,100,R_0805_2012Metric,152.608333,-99.912500,90.000000,Top
R_GATE_COIL1,100,R_0805_2012Metric,104.140000,-65.127500,90.000000,Top
R_GATE_G1,100,R_0805_2012Metric,141.791667,-99.912500,90.000000,Top
R_GATE_R1,100,R_0805_2012Metric,130.975000,-99.912500,90.000000,Top
R_GATE_W1,100,R_0805_2012Metric,163.475000,-99.912500,90.000000,Top
R_GPD_B1,10k,R_0805_2012Metric,158.608333,-99.912500,90.000000,Top
R_GPD_COIL1,10k,R_0805_2012Metric,107.950000,-65.127500,-90.000000,Top
R_GPD_G1,10k,R_0805_2012Metric,147.791667,-99.912500,90.000000,Top
R_GPD_R1,10k,R_0805_2012Metric,136.975000,-99.912500,90.000000,Top
R_GPD_W1,10k,R_0805_2012Metric,168.450000,-100.412500,90.000000,Top
R_LED_COIL1,4.7k,R_0805_2012Metric,115.570000,-66.040000,180.000000,Top
R_LED_FAULT1,1k,R_0805_2012Metric,112.672500,-105.410000,0.000000,Top
R_LED_PWR1,1k,R_0805_2012Metric,102.437500,-100.330000,0.000000,Top
R_OPT_AUX_LED1,4.7k,R_0805_2012Metric,150.217500,-63.500000,0.000000,Top
R_OPT_AUX_PU1,10k,R_0805_2012Metric,143.510000,-66.397500,90.000000,Top
R_OPT_HL_LED1,4.7k,R_0805_2012Metric,135.890000,-70.207500,-90.000000,Top
R_OPT_HL_PU1,10k,R_0805_2012Metric,124.460000,-79.097500,90.000000,Top
R_RX1,33,R_0805_2012Metric,72.032500,-115.570000,180.000000,Top
R_TX1,33,R_0805_2012Metric,62.230000,-113.387500,-90.000000,Top
TVS_5VP1,ESD9B5.0ST5G,D_SOD-323,72.390000,-118.110000,0.000000,Top
TVS_AUX1,SMBJ30CA,D_SMB,171.800000,-67.040000,0.000000,Top
TVS_HL1,SMBJ30CA,D_SMB,130.850000,-65.500000,0.000000,Top
TVS_RX_PANEL1,ESD9B5.0ST5G,D_SOD-323,68.025000,-115.790000,90.000000,Top
TVS_TX_PANEL1,ESD9B5.0ST5G,D_SOD-323,61.180000,-118.110000,180.000000,Top
U1,R-78E5.0-1.0,Converter_DCDC_RECOM_R-78E-0.5_THT,149.000000,-80.010000,-90.000000,Top
