Comment,Designator,Footprint,JLCPCB Part #
ESP_ROW_3V3,J_ESP1,1x19 2.54mm female header,C319202
ESP_ROW_GND23,J_ESP2,1x19 2.54mm female header,C319202
100nF,"C3,C5,C7,C8,C9,C10",C0805,C49678
10uF 50V,C1,C1210,C138687
22uF 25V,C2,C1210,C52306
GREEN 24V,LED1,LED0805,C2297
GREEN 5V,LED2,LED0805,C2297
RED ACT,"LED4,LED5,LED6,LED7",LED0805,C2295
RED FAULT,LED3,LED0805,C2295
750mA PTC (COIL),F2,PTC1812,C208467
750mA PTC (LOGIC),F3,PTC1812,C208467
2A PTC (AUX),F4,PTC2920,C139284
3A PTC (LED),F1,PTC2920,C719172
100R,"R7,R8,R9,R10,R11,R21,R22,R23,R24,R32",R0805,C17408
10K,"R4,R5,R12,R13,R14,R15,R16,R17,R25,R33",R0805,C17414
1K,"R18,R26,R27,R28,R29,R30,R31",R0805,C17513
4K7,"R19,R20",R0805,C17673
3K3,"R1,R2",R1206,C104771
750mA PTC,PF1,R1812,C208467
220uF 50V,"C4,C6",Radial D8.0mm P3.50mm,C106658
K7805-2000R3,U1,"SIP-3,2.54mm",C18212380
SS54,"D5,D11","SMA,DO-214AC",C22452
SMBJ30CA,"D2,D3","SMB,DO-214AA",C5331115
SMBJ33A,D1,"SMB,DO-214AA",C78419
1N4148WS,"D9,D10",SOD-323,C2128
ESD9B5.0,"D6,D7,D8",SOD-923,C111566
LTV-817S,"OPT_RELAY_FB,OPT2",SOP-4,C109227
USBLC6-2SC6,U2,SOT-23-6,C7519
AOD4184A,"Q1,Q2,Q3,Q4,Q5,Q6","TO-252-2,DPAK",C99124
24V_IN,J_PWR,Terminal 5.08mm 2P,C8461
AUX_OUT,J_AUX_OUT,Terminal 5.08mm 2P,C8461
COIL,J_COIL,Terminal 5.08mm 2P,C8461
DOOR,J_DOOR,Terminal 5.08mm 2P,C8461
RELAY_FB,J_RELAY_FB,Terminal 5.08mm 2P,C8461
SRL250,J_SRL250,Terminal 5.08mm 2P,C8461
BENCH_T,J_BENCH,Terminal 5.08mm 3P,C8438
CEIL_T,J_CEILING,Terminal 5.08mm 3P,C8438
PANEL,J_PANEL,Terminal 5.08mm 4P,C8429
LED_RGBW,J_LED,Terminal 5.08mm 5P,C8433
